código,codigo de barras,série,nome,descrição,categoria,valor bruto,impostos (%),data de fabricação,data de validade,cor,material
t0n75ytr,945923371680,1/2017,Teclado Gamer,Teclado mecânico para jogos com luzes RGB,ESCRITÓRIO,"120,99",35,23/12/2016,n/a,colorido,plástico
7t0do00n,629936360072,2/2016,Livro Design Patterns,"Livro sobre padrões de projeto de Erich Gamma, Ralph Johnson, Richard Helm e John Vlissides",ESCRITÓRIO,"101,11",25,18/05/2016,n/a,n/a,papel
oh8u4qy2,651165685459,4/2019,Café Solúvel South,Café extra-forte para programadores,ALIMENTAÇÃO E BEBIDAS,"9,45",10,18/11/2019,18/11/2022,n/a,n/a
am45zbvz,809020331834,1/2021,Camiseta South,Camiseta comemoração 7 anos da South System,VESTUÁRIO,"35,21",15,15/01/2021,n/a,preto,algodão
hrcilce1,242717521829,1/2021,Cerveja Foguete South,Cerveja IPA comemoração South System,ALIMENTAÇÃO E BEBIDAS,"28,17","12,6",05/02/2021,19/08/2021,n/a,n/a
heqti1q0,553100780294,1/2020,Máscara PFF2 South,"Máscara de proteção facial modelo PFFS, logo South System",HIGIENE E SAÚDE,"10,02",5,16/03/2021,n/a,branco,pff2
iyu2uudy,932205549597,1/2020,Patinete Elétrico South,Patinete movido a bateria com logo South System,MEIO DE TRANSPORTE,"301,11","20,2",27/02/2020,n/a,laranja,n/a
psoer82j,094356798761,2/2022,Meia South,Meia de alta tecnologia,VESTUÁRIO,"15",15,23/12/2016,n/a,branco,algodão
8shjey24,893276596843,5/2022,Blusa South,Blusa que não amassa,VESTUÁRIO,"90",15,24/11/2018,n/a,preto,algodão
lakm98js,984759842345,6/2022,Papel Higienico,Papel higienico confortavel,HIGIENE E SAÚDE,"5,90",15,27/01/2022,28/10/2023,branco,papel
9iajr4pl,543264538574,7/2022,Vaso de plantas South,Vaso de Plantas artificiais,ESCRITÓRIO,"25",14,23/12/2016,n/a,marron,plástico
hjak23jd,976347526353,2/2022,Perfume Boticario,Perfume com tons amadeirados,BELEZA,"99,99",15,23/12/2016,n/a,n/a,n/a
88ujahet,712653487543,7/2022,Caneta South,Caneta de três cores,ESCRITÓRIO,"1,99",15,23/12/2016,n/a,azul,plástico
kplae60v,745983465356,8/2022,Skate South,Skate elétrico,MEIO DE TRANSPORTE,"250",15,23/12/2019,n/a,verde,madeira
plasuhr8,198349397326,4/2022,Caderno South,Caderno de 15 máterias,ESCRITÓRIO,"15,99",15,29/10/2020,n/a,preto,n/a\